Ano;Município;Ideb iniciais;Ideb finais
2011;ABAETETUBA;3,9;0
2011;ABEL FIGUEIREDO;4,1;3,4
2011;ACARA;3,8;3,4
2011;AFUA;3,4;2,8
2011;AGUA AZUL DO NORTE;3,9;3,3
2011;ALENQUER;4;3,5
2011;ALMEIRIM;3,6;3,4
2011;ALTAMIRA;4,8;4,4
2011;ANAJAS;3,4;3,2
2011;ANANINDEUA;4,2;0
2011;ANAPU;3,9;3,6
2011;AUGUSTO CORREA;3,6;3,3
2011;AURORA DO PARA;3,6;3,4
2011;AVEIRO;3,6;3,2
2011;BAGRE;3,7;2,9
2011;BAIAO;3,4;3,5
2011;BANNACH;4,3;4,7
2011;BARCARENA;3,7;3
2011;BELEM;4,2;0
2011;BELTERRA;3,9;4,1
2011;BENEVIDES;4;0
2011;BOM JESUS DO TOCANTINS;3,6;3,8
2011;BRAGANCA;3,8;0
2011;BRASIL NOVO;4,3;3,8
2011;BREJO GRANDE DO ARAGUAIA;3,7;3,3
2011;BREU BRANCO;4,1;3,8
2011;BREVES;3,9;3,7
2011;BUJARU;3,3;0
2011;CACHOEIRA DO ARARI;3,2;3,3
2011;CACHOEIRA DO PIRIA;4,1;2,8
2011;CAMETA;3,4;3,3
2011;CANAA DOS CARAJAS;4;3,8
2011;CAPANEMA;3,8;0
2011;CAPITAO POCO;3,7;3,1
2011;CASTANHAL;3,9;0
2011;CHAVES;3,4;3,2
2011;COLARES;3,8;2,9
2011;CONCEICAO DO ARAGUAIA;4,3;0
2011;CONCORDIA DO PARA;3,6;3,8
2011;CUMARU DO NORTE;3,8;3,8
2011;CURIONOPOLIS;4;3,6
2011;CURRALINHO;3;3,1
2011;CURUA;3,4;3,4
2011;CURUCA;3,7;0
2011;DOM ELISEU;5,2;3,3
2011;ELDORADO DOS CARAJAS;4,5;3,8
2011;FARO;4;3,7
2011;FLORESTA DO ARAGUAIA;3,9;3,6
2011;GARRAFAO DO NORTE;3,3;3
2011;GOIANESIA DO PARA;3,7;3
2011;GURUPA;4,1;3,5
2011;IGARAPE ACU;0;0
2011;IGARAPE MIRI;3,7;3,4
2011;INHANGAPI;3,3;2,9
2011;IPIXUNA DO PARA;3,9;4
2011;IRITUIA;3,9;0
2011;ITAITUBA;3,5;3,8
2011;ITUPIRANGA;3,6;3,3
2011;JACAREACANGA;3,3;3,3
2011;JACUNDA;3,8;3,1
2011;JURUTI;3,9;3,7
2011;LIMOEIRO DO AJURU;3,2;3,7
2011;MAE DO RIO;4;3,9
2011;MAGALHAES BARATA;4;0
2011;MARABA;4,4;3,8
2011;MARACANA;3,9;3,7
2011;MARAPANIM;3,8;3,3
2011;MARITUBA;4;3,8
2011;MEDICILANDIA;3,7;4
2011;MELGACO;3,6;3,5
2011;MOCAJUBA;3,8;3,1
2011;MOJU;4,1;3,7
2011;MONTE ALEGRE;4;3,6
2011;MUANA;3,9;3,2
2011;NOVA ESPERANCA DO PIRIA;4,4;3,3
2011;NOVA IPIXUNA;4,2;2,9
2011;NOVA TIMBOTEUA;3,7;3,6
2011;NOVO PROGRESSO;4,6;4,2
2011;NOVO REPARTIMENTO;3,8;3,5
2011;OBIDOS;3,9;3,7
2011;OEIRAS DO PARA;3,7;3,2
2011;ORIXIMINA;3,9;4
2011;OUREM;3,7;0
2011;OURILANDIA DO NORTE;5,2;4
2011;PACAJA;3,5;3,7
2011;PALESTINA DO PARA;3,2;3,1
2011;PARAGOMINAS;4,7;3,8
2011;PARAUAPEBAS;4,9;4,4
2011;PAU DARCO;3,5;3,1
2011;PEIXE BOI;3,8;3,9
2011;PICARRA;3,9;3,2
2011;PLACAS;4,2;4
2011;PONTA DE PEDRAS;3,8;3,6
2011;PORTEL;3,8;3,8
2011;PORTO DE MOZ;3,3;3,5
2011;PRAINHA;3,3;3,4
2011;PRIMAVERA;3,4;3,3
2011;QUATIPURU;3,3;0
2011;REDENCAO;4,2;3,4
2011;RIO MARIA;4,1;3,8
2011;RONDON DO PARA;4,2;3,5
2011;RUROPOLIS;3,6;3,7
2011;SALINOPOLIS;3,9;0
2011;SALVATERRA;3,4;3,4
2011;SANTA BARBARA DO PARA;3,7;2,8
2011;SANTA CRUZ DO ARARI;2,9;0
2011;SANTA ISABEL DO PARA;3,4;3,4
2011;SANTA LUZIA DO PARA;3,5;3,3
2011;SANTA MARIA DAS BARREIRAS;2,8;0
2011;SANTA MARIA DO PARA;4,4;3,4
2011;SANTANA DO ARAGUAIA;3,2;3,3
2011;SANTAREM;4,7;0
2011;SANTAREM NOVO;4,1;4,1
2011;SANTO ANTONIO DO TAUA;3,6;3,3
2011;SAO CAETANO DE ODIVELAS;3,7;0
