Ano;Município;Ideb iniciais;Ideb finais
2011;SAO DOMINGOS DO ARAGUAIA;3,3;3
2011;SAO DOMINGOS DO CAPIM;3,1;3,1
2011;SAO FELIX DO XINGU;4,1;3,7
2011;SAO FRANCISCO DO PARA;3,4;3,3
2011;SAO GERALDO DO ARAGUAIA;3,5;3,5
2011;SAO JOAO DA PONTA;0;3,2
2011;SAO JOAO DE PIRABAS;3,7;3,8
2011;SAO JOAO DO ARAGUAIA;3,3;2,6
2011;SAO MIGUEL DO GUAMA;3,7;3,5
2011;SAO SEBASTIAO DA BOA VISTA;3,7;3,3
2011;SAPUCAIA;4,1;2,9
2011;SENADOR JOSE PORFIRIO;4;3,6
2011;SOURE;3,9;0
2011;TAILANDIA;4;3,3
2011;TERRA ALTA;3,9;0
2011;TERRA SANTA;4,2;3,5
2011;TOME ACU;4,6;3,6
2011;TRACUATEUA;3,5;3,1
2011;TRAIRAO;4,1;3,9
2011;TUCUMA;4,1;3,8
2011;TUCURUI;4,5;3,7
2011;ULIANOPOLIS;5,1;4
2011;URUARA;4,5;4,1
2011;VIGIA;4,3;0
2011;VISEU;3,6;3,4
2011;VITORIA DO XINGU;4,3;3,8
2011;XINGUARA;4,1;3,4
