Ano;Município;Ideb iniciais;Ideb finais
2019;SALINOPOLIS;4,8;3,7
2019;SALVATERRA;4,6;4
2019;SANTA BARBARA DO PARA;5,1;3,9
2019;SANTA CRUZ DO ARARI;3,4;3,2
2019;SANTA ISABEL DO PARA;4,3;3,8
2019;SANTA LUZIA DO PARA;4,1;3,7
2019;SANTA MARIA DAS BARREIRAS;3,5;3,2
2019;SANTA MARIA DO PARA;4,3;3,2
2019;SANTANA DO ARAGUAIA;4;2,3
2019;SANTAREM;5,5;4,6
2019;SANTAREM NOVO;5,3;4,9
2019;SANTO ANTONIO DO TAUA;4,5;3,7
2019;SAO CAETANO DE ODIVELAS;3,8;3,2
2019;SAO DOMINGOS DO ARAGUAIA;4;3,3
2019;SAO DOMINGOS DO CAPIM;3,7;3,4
2019;SAO FELIX DO XINGU;4;2,9
2019;SAO FRANCISCO DO PARA;4;3,4
2019;SAO GERALDO DO ARAGUAIA;4,8;4,2
2019;SAO JOAO DA PONTA;4,5;0
2019;SAO JOAO DE PIRABAS;4,3;3,8
2019;SAO JOAO DO ARAGUAIA;3,9;3,6
2019;SAO MIGUEL DO GUAMA;4,4;3,8
2019;SAO SEBASTIAO DA BOA VISTA;4,5;4,2
2019;SAPUCAIA;4,5;0
2019;SENADOR JOSE PORFIRIO;4,1;4,4
2019;SOURE;4,2;3,4
2019;TAILANDIA;4,6;3,5
2019;TERRA ALTA;4,4;3,5
2019;TERRA SANTA;5,7;4,6
2019;TOME ACU;4,7;3,9
2019;TRACUATEUA;3,7;3,5
2019;TRAIRAO;4,6;4,1
2019;TUCUMA;4,4;3,8
2019;TUCURUI;4,7;4
2019;ULIANOPOLIS;6,1;4,9
2019;URUARA;4,5;3,9
2019;VIGIA;4,3;3,9
2019;VISEU;3,6;3,6
2019;VITORIA DO XINGU;5,7;5,2
2019;XINGUARA;4,8;4,1
