Ano;Município;Ideb iniciais;Ideb finais
2017;PORTO DE MOZ;3,7;3,2
2017;PRAINHA;3,5;3,5
2017;PRIMAVERA;4,6;3,3
2017;QUATIPURU;4,1;2
2017;REDENCAO;4,8;3,9
2017;RIO MARIA;4,8;4
2017;RONDON DO PARA;4,9;3,4
2017;RUROPOLIS;4,8;4,1
2017;SALINOPOLIS;4,2;3,3
2017;SALVATERRA;4,2;3,7
2017;SANTA BARBARA DO PARA;5;3,2
2017;SANTA CRUZ DO ARARI;3,2;2,9
2017;SANTA ISABEL DO PARA;4,1;3,4
2017;SANTA LUZIA DO PARA;3,8;3,1
2017;SANTA MARIA DAS BARREIRAS;3,6;2,8
2017;SANTA MARIA DO PARA;4,2;3,3
2017;SANTANA DO ARAGUAIA;3,9;2,8
2017;SANTAREM;5,5;4,4
2017;SANTAREM NOVO;4,4;4,5
2017;SANTO ANTONIO DO TAUA;3,9;3
2017;SAO CAETANO DE ODIVELAS;4;2,9
2017;SAO DOMINGOS DO ARAGUAIA;3,9;3
2017;SAO DOMINGOS DO CAPIM;3,4;3,3
2017;SAO FELIX DO XINGU;4;3
2017;SAO FRANCISCO DO PARA;4,4;3,2
2017;SAO GERALDO DO ARAGUAIA;4,4;3,6
2017;SAO JOAO DA PONTA;3,4;3,1
2017;SAO JOAO DE PIRABAS;3,9;3,6
2017;SAO JOAO DO ARAGUAIA;3,7;2,5
2017;SAO MIGUEL DO GUAMA;4,4;3,3
2017;SAO SEBASTIAO DA BOA VISTA;4,1;3,7
2017;SAPUCAIA;4,1;3,2
2017;SENADOR JOSE PORFIRIO;4,4;4,2
2017;SOURE;4;3,3
2017;TAILANDIA;4,4;3,4
2017;TERRA ALTA;4,8;3,2
2017;TERRA SANTA;5,6;4,1
2017;TOME ACU;4,6;3,9
2017;TRACUATEUA;3,8;3,1
2017;TRAIRAO;4,7;3,7
2017;TUCUMA;4,5;4
2017;TUCURUI;4,6;3,6
2017;ULIANOPOLIS;6;4,8
2017;URUARA;4,4;3,6
2017;VIGIA;4,1;3,1
2017;VISEU;3,7;3,2
2017;VITORIA DO XINGU;4,9;4,2
2017;XINGUARA;4,4;3,6
