Ano;Município;Ideb iniciais;Ideb finais
2017;ABAETETUBA;4,6;3,3
2017;ABEL FIGUEIREDO;5,1;3,6
2017;ACARA;3,7;3,3
2017;AFUA;3,3;2,7
2017;AGUA AZUL DO NORTE;3,5;3,4
2017;ALENQUER;4;3,6
2017;ALMEIRIM;3,6;2,5
2017;ALTAMIRA;5,5;4,8
2017;ANAJAS;3,3;3
2017;ANANINDEUA;5;3,9
2017;ANAPU;4,2;3,3
2017;AUGUSTO CORREA;4;3,4
2017;AURORA DO PARA;4,6;4
2017;AVEIRO;3,6;3,2
2017;BAGRE;3,9;3,4
2017;BAIAO;3,9;3,4
2017;BANNACH;4;4
2017;BARCARENA;4,1;3,5
2017;BELEM;4,8;3,5
2017;BELTERRA;4,6;4,2
2017;BENEVIDES;6,2;4,1
2017;BOM JESUS DO TOCANTINS;4,7;3,7
2017;BONITO;4;2,8
2017;BRAGANCA;4,1;3,2
2017;BRASIL NOVO;5,3;4,4
2017;BREJO GRANDE DO ARAGUAIA;4,4;2,8
2017;BREU BRANCO;4,4;3,6
2017;BREVES;3,5;3,7
2017;BUJARU;4;3,6
2017;CACHOEIRA DO ARARI;3,8;3,2
2017;CACHOEIRA DO PIRIA;3,5;2,7
2017;CAMETA;3,8;3,2
2017;CANAA DOS CARAJAS;5;3,6
2017;CAPANEMA;4,3;3,1
2017;CAPITAO POCO;3,6;3,1
2017;CASTANHAL;4,7;3,6
2017;CHAVES;3,3;3,1
2017;COLARES;4,4;3,5
2017;CONCEICAO DO ARAGUAIA;4,5;3,4
2017;CONCORDIA DO PARA;3,8;2,9
2017;CUMARU DO NORTE;3,9;3,7
2017;CURIONOPOLIS;5,3;4
2017;CURRALINHO;3,1;2,8
2017;CURUA;3,8;3,6
2017;CURUCA;3,8;3,1
2017;DOM ELISEU;5,3;3,6
2017;ELDORADO DOS CARAJAS;4,4;3,2
2017;FARO;4,2;3,7
2017;FLORESTA DO ARAGUAIA;4,3;3,5
2017;GARRAFAO DO NORTE;3,7;3,7
2017;GOIANESIA DO PARA;4,5;3,2
2017;GURUPA;3,3;2,9
2017;IGARAPE ACU;3,7;3
2017;IGARAPE MIRI;3,8;3,5
2017;INHANGAPI;4,6;2
2017;IPIXUNA DO PARA;4,5;3,8
2017;IRITUIA;4,1;3,1
2017;ITAITUBA;4,8;4,1
2017;ITUPIRANGA;3,8;3,2
2017;JACAREACANGA;3,8;3,2
2017;JACUNDA;4,3;3,4
2017;JURUTI;4,7;4,1
2017;LIMOEIRO DO AJURU;3,6;3,3
2017;MAE DO RIO;4,7;3,6
2017;MAGALHAES BARATA;3,9;2,6
2017;MARABA;4,6;3,8
2017;MARACANA;4,4;3,5
2017;MARAPANIM;3,8;3,2
2017;MARITUBA;4,8;3,7
2017;MEDICILANDIA;4,3;3,5
2017;MELGACO;3,3;3,6
2017;MOCAJUBA;3,9;3,3
2017;MOJU;4,8;3,8
2017;MOJUI DOS CAMPOS;5;4,2
2017;MONTE ALEGRE;4,4;3,7
2017;MUANA;4,2;4,1
2017;NOVA ESPERANCA DO PIRIA;3,5;2,6
2017;NOVA IPIXUNA;4;3,5
2017;NOVA TIMBOTEUA;4,1;3,6
2017;NOVO PROGRESSO;5;3,6
2017;NOVO REPARTIMENTO;4,2;3,4
2017;OBIDOS;4,8;3,6
2017;OEIRAS DO PARA;3,5;3,1
2017;ORIXIMINA;4,8;4,1
2017;OUREM;4,5;3,7
2017;OURILANDIA DO NORTE;4,8;3,7
2017;PACAJA;4;3,6
2017;PALESTINA DO PARA;3,6;2,9
2017;PARAGOMINAS;5,7;4,1
2017;PARAUAPEBAS;5,7;4,6
2017;PAU DARCO;3,4;3,3
2017;PEIXE BOI;4,7;3,5
2017;PICARRA;4,4;3,5
2017;PLACAS;4,1;3,6
2017;PONTA DE PEDRAS;4,1;3,4
2017;PORTEL;3,3;3,2
